GBS.V4names,TAXA,GBS.V3names,LegacySNPsSimulatedPhenotypeNames,WGSnames,FAKEPHENO
W153R:250039828,W153R,W153R:8042MABXX:2:C11,W153R,282set_W153R,1
W182B:250039832,W182B,W182B:8042MABXX:2:G11,W182B,282set_W182B,1
W22:250039794,W22,W22:8042MABXX:2:A7,W22,282set_W22,1
W22R-r-std_CS-2909-1:250040186,W22_R-r:std,W22Rrstd:8042MABXX:4:D8,W22_R.r.std,W22R-r-std,1
W64A:250040195,W64A,W64A:8042MABXX:4:E9,W64A,282set_W64A,1
WD:250039760,WD,WD:8042MABXX:2:G2,WD,282set_WD,1
Wf9:250040168,WF9,Wf9:8042MABXX:4:B6,WF9,282set_Wf9,1
Yu796_NS:250040150,YU796_NS,Yu796NS:8042MABXX:4:H3,YU796_NS,282set_Yu796,1
Ames27036:250032304,Ames27036,Ames27036.81FE8ABXX.4.E4,NA,#N/A,1
NA,Ames27032,CM37.8042MABXX.4.H6,NA,#N/A,NA
Ames27032:250034602,PI600981,Ames27032.81FENABXX.7.F4,NA,#N/A,1
PI601403:250035235,PI601403,B68.8042MABXX.4.H7,NA,#N/A,NA
PI600981:250033863,Ames14111,PI600981.81FENABXX.1.H3,NA,#N/A,1
PI601403:250035235,PI538238,PI601403.81FENABXX.6.F2,NA,#N/A,1
Ames14111:250033032,PI601003,Ames14111.81N4HABXX.2.C2,NA,#N/A,1
NA,Ames27451,CM174.8042MABXX.2.G1,NA,#N/A,NA
NA,Ames26761,B104.8042MABXX.2.B3,NA,#N/A,NA
PI538238:250032205,Ames27046,PI538238.81FE8ABXX.3.G8,NA,#N/A,1
PI601003:250035266,Ames26763,PI601003.81FENABXX.6.H9,NA,#N/A,1
Ames27451:250032434,PI600751,Ames27451.81FE8ABXX.5.E7,NA,#N/A,1
Ames26761:250031889,Ames26762,Ames26761.81FE8ABXX.1.C2,NA,#N/A,1
Ames27046:250035213,PI600772,Ames27046.81FENABXX.6.A5,NA,#N/A,1
Ames26763:250031171,PI607527,Ames26763.81FE7ABXX.2.F2,NA,#N/A,1
PI600751:250033671,PI550567,PI600751.81N4HABXX.7.C6,NA,#N/A,1
Ames26762:250033524,Ames23469,Ames26762.81N4HABXX.6.A2,NA,#N/A,1
PI600772:250034966,PI601778,PI600772.81FENABXX.4.D4,NA,#N/A,1
NA,PI648426,W117Ht.8042MABXX.2.E4,NA,#N/A,NA
PI607527:250032264,PI601574,PI607527.81FE8ABXX.4.B4,NA,#N/A,1
PI550567:250035231,PI648425,PI550567.81FENABXX.6.E10,NA,#N/A,1
Ames23469:250031880,Ames27035,Ames23469.81FE8ABXX.1.B1,NA,#N/A,1
PI601778:250034821,PI559380,PI601778.81FENABXX.3.D1,NA,#N/A,1
NA,Ames23474,B76.8042MABXX.2.B10,NA,#N/A,NA
PI648426:250031668,CUB57c,PI648426.81FE7ABXX.6.E3,NA,#N/A,1
PI601574:250035000,PI601229,PI601574.81FENABXX.4.G9,NA,#N/A,1
PI648425:250031948,CI,PI648425.81FE8ABXX.1.G5,NA,#N/A,1
Ames27035:250032297,PI601457,Ames27035.81FE8ABXX.4.B7,NA,#N/A,1
NA,Ames23497,PI559380.D0D0BACXX.3.C11,NA,#N/A,NA
Ames23474:250032426,PI601499,Ames23474.81FE8ABXX.5.D4,NA,#N/A,1
NA,Ames28170,H49.8042MABXX.3.A5,NA,#N/A,NA
NA,PI601170,CUB57c.2.81FE8ABXX.7.D2,NA,#N/A,NA
PI601229:250031564,PI538229,PI601229.81FE7ABXX.5.G2,NA,#N/A,1
NA,EZ32,CI.7.8042MABXX.2.E8,NA,#N/A,NA
PI601457:250033610,NSL197104,PI601457.81N4HABXX.6.H4,NA,#N/A,1
Ames23497:250032466,PI601576,Ames23497.81FE8ABXX.5.H3,NA,#N/A,1
PI601499:250031159,Ames23471,PI601499.81FE7ABXX.2.E2,NA,#N/A,1
NA,Ames23470,IA2132.8042MABXX.4.G6,NA,#N/A,NA
Ames28170:250032394,PI452250,Ames28170.81FE8ABXX.5.B10,NA,#N/A,1
NA,Ames27021,H91.8042MABXX.2.C8,NA,#N/A,NA
PI601170:250032540,Ames23475,PI601170.81FE8ABXX.6.D8,NA,#N/A,1
PI538229:250032194,CML101,PI538229.81FE8ABXX.3.F9,NA,#N/A,1
NA,NSL65868,EZ32.633Y5AAXX.5.E6,NA,#N/A,NA
NSL197104:250031583,Ames27024,NSL197104.81FE7ABXX.5.H9,NA,#N/A,1
PI601576:250031247,PI522250,PI601576.81FE7ABXX.3.B3,NA,#N/A,1
