taxa,GBSv4names,WGStaxa,GDDDaystoSilk,GDDDaystoTassel,TasselLength,MainSpikeLength,TasselPrimaryBranches,TasselBranchLength,SpikeletsMainSpike,SpikeletsPrimaryBranch,SecondaryBranchNumber,EarHeight,LeafLength,LeafWidth,UpperLeafAngle,MiddleLeafAngle,CobDiameter,CobWeight,EarDiameter,EarLength,SeedSetLength,EarRowNumber,EarWeight,EarRankNumber,KernelWeight20
Z003E0030,#N/A,#N/A,470.4892525,1015.405515,17.50689354,354.2395763,5.470634207,0.347402327,-0.163485743,0.320501542,191.0569989,150.8472146,86.24211524,777.7619688,0.66707975,0.09153761,60.68991146,10.95155037,0.169176793,21.51612483,-0.694317157,26.90592529,115.7809642,84.53698171,-0.749303099
Z003E0031,#N/A,#N/A,453.2003492,968.6121282,27.92537103,315.4089431,5.329390685,0.272521448,0.091455161,0.320501542,170.1907794,155.3295919,79.3934777,707.9295165,-0.116265433,-0.022434796,60.82536715,10.06675276,0.168590359,22.75500461,0.471873817,33.03670754,115.4114487,80.29993911,-0.09864007
Z003E0032,#N/A,#N/A,464.4912436,956.6902761,-1.254945752,310.4474897,5.292958326,0.199203415,0.490268899,-0.01905047,158.3532126,150.8472146,87.95427462,718.4419287,0.251493231,0.321831283,60.12244545,10.31639641,0.168549661,21.73605317,-0.483280001,30.9729954,110.4692367,72.73122634,-0.186306488
Z003E0033,#N/A,#N/A,462.1015375,949.573688,-2.295987585,344.583626,5.435489662,-0.756024752,-0.767444611,-0.607598992,174.4041506,175.9983319,97.08579133,806.6460728,0.655780712,0.416760726,60.94511769,10.39626982,0.169462021,21.8335169,0.209260928,29.87236181,112.7465464,78.92369444,-0.352720353
Z003E0034,#N/A,#N/A,447.3708577,932.7054933,43.30195491,329.5969955,5.376990675,0.49086026,0.262239158,0.85970439,192.461456,166.2865143,82.81779647,739.1163393,0.098773293,0.229874552,58.94717975,11.00960402,0.169094946,21.24245367,-0.072120705,30.97506103,125.6239004,87.16918577,0.95327819
Z003E0035,#N/A,#N/A,453.1678819,922.4374105,18.26855931,359.9512508,5.432149139,0.278211498,0.383107062,0.580259023,179.2194321,153.826194,86.81283503,694.2293967,1.080279717,0.109682287,61.08550489,10.19723308,0.169650402,21.4964921,-0.217643439,28.27773719,118.6371041,85.49407459,-0.669422788
Z003E0036,#N/A,#N/A,450.3255763,920.8863069,26.25111846,354.2970182,5.512219518,-0.078856813,-0.601108682,-0.342230112,189.0506316,130.9255374,66.83764222,731.8077099,0.460532349,0.1846651,60.30715491,10.44577412,0.171585331,22.61757428,0.742157916,32.1891352,130.0370271,87.172249,0.497011739
Z003E0037,#N/A,#N/A,458.9272849,945.8539714,7.104449391,283.5285811,5.287268979,-0.577621378,-0.376403432,-0.699066826,173.2003303,142.3805018,86.81283503,669.399585,1.045146268,0.024846538,60.7409537,10.37615996,0.16935056,23.19010447,0.645573465,32.51311447,114.9080525,79.22590376,0.169759167
Z003E0038,#N/A,#N/A,460.4384476,963.6577889,23.79404444,304.4769107,5.308771428,-0.241810451,-0.601108682,-0.86449705,170.1907794,152.4924517,87.52911596,777.5414571,1.742820443,0.012043639,60.3354825,9.838359785,0.173896964,21.64624479,-0.259975365,30.95687653,118.9239322,83.53719689,0.092048626
Z003E0039,#N/A,#N/A,458.7714335,962.3408175,35.20279037,371.8518002,5.520798241,0.087639884,0.2964365,0.161861422,169.5888692,156.3256758,80.53491729,706.837589,-0.160987358,0.309560794,59.83161518,10.80330902,0.170027056,21.42097156,-0.503562311,29.37282544,126.3773066,83.56706796,-0.75449587
